trait,runs,mean_exact_band_overlap,mean_exact_jaccard,mean_region_overlap,mean_region_jaccard,most_frequent_regions
LAI,3,2.3333333333333335,0.04268675455116133,3.6666666666666665,0.5238095238095238,water_nir_930_1230:32; nir_structure_740_930:24; red_chlorophyll_630_690:23; other:6; nir_swir_transition_1230_1400:2
anth,3,1.3333333333333333,0.0231935771632471,5.666666666666667,0.7440476190476191,swir_water_1400_1500:26; other:22; red_chlorophyll_630_690:18; blue_green_pigments_400_570:12; water_nir_930_1230:5
cab,3,8.333333333333334,0.16314902029187744,4.0,0.7777777777777777,blue_green_pigments_400_570:42; red_chlorophyll_630_690:19; red_edge_690_740:19; other:7; swir_water_1400_1500:2
car,3,8.0,0.15384615384615385,4.333333333333333,0.5714285714285715,swir_water_1400_1500:39; blue_green_pigments_400_570:34; water_nir_930_1230:6; red_edge_690_740:3; nir_swir_transition_1230_1400:3
cbc,3,6.666666666666667,0.12941082865894896,4.0,0.7142857142857143,swir_biochemical_1500_1800:72; blue_green_pigments_400_570:6; nir_structure_740_930:5; water_nir_930_1230:4; red_chlorophyll_630_690:1
cm,3,10.666666666666666,0.2163265306122449,4.333333333333333,0.5654761904761905,swir_biochemical_1500_1800:70; blue_green_pigments_400_570:6; swir_water_biochemical_1900_2200:5; water_nir_930_1230:3; nir_structure_740_930:2
cp,3,1.3333333333333333,0.0231935771632471,6.333333333333333,0.7037037037037037,blue_green_pigments_400_570:26; swir_biochemical_1500_1800:18; other:15; red_chlorophyll_630_690:10; swir_water_biochemical_1900_2200:7
cw,3,5.666666666666667,0.10437710437710439,4.333333333333333,0.6904761904761904,swir_biochemical_1500_1800:67; blue_green_pigments_400_570:6; nir_structure_740_930:6; water_nir_930_1230:5; other:3
