target,hybrid_rmse_mean,hybrid_rmse_std,hybrid_r2_mean,hybrid_r2_std,hybrid_rpd_mean,random_ssl_r2,contiguous_ssl_r2,best_full_r2,torch_mlp_k30_r2_mean,torch_mlp_k30_r2_std,hybrid_minus_random_ssl_r2,hybrid_minus_contiguous_ssl_r2,hybrid_minus_full_r2,hybrid_minus_supervised_torchmlp_r2
cab,9.21552222803908,0.1038466069380754,0.5380175511042277,0.010378975954832,1.473301688830058,0.3393285274505615,0.3383708000183105,0.5385874509811401,0.5838299751281738,0.020778807304645,0.19868902365366614,0.19964675108591717,-0.0005698998769124719,-0.04581242402394614
cw,0.006303290311163,0.000143894843266,0.5079461932182312,0.0226056782275144,1.4280085961023967,0.4520301818847656,0.4357039332389831,0.5442371368408203,0.6128196001052857,0.0173625691993278,0.055916011333465576,0.0722422599792481,-0.03629094362258911,-0.10487340688705449
cm,0.0038323077440955,7.744994302081409e-05,0.6341822942097982,0.0148673282536242,1.6551559766133626,0.5218505263328552,0.5464515487353007,0.5775256752967834,0.6607513189315796,0.0271956645201148,0.11233176787694299,0.08773074547449755,0.05665661891301477,-0.026569024721781354
LAI,1.2012277505769224,0.0143313955472154,0.5374804337819418,0.0109973335827907,1.4732043345769246,0.4037261207898457,0.4011730154355367,0.5273088216781616,0.5256685137748718,0.0235651355329318,0.13375431299209606,0.13630741834640508,0.010171612103780148,0.011811920007069987
cp,0.0003026223856607,5.204847373021723e-06,0.5286457538604736,0.0162757467341318,1.4582960605621338,0.4904129902521769,0.5292407472928365,0.5059227347373962,0.6129188060760498,0.0147157882330646,0.03823276360829675,-0.0005949934323629114,0.022723019123077393,-0.08427305221557613
cbc,0.0037963957724679,5.6308509061152895e-05,0.6467063625653585,0.0104424981042642,1.6843010187149048,0.4920848409334818,0.5666869084040324,0.5548825263977051,0.7047489047050476,0.0196520905984887,0.1546215216318767,0.08001945416132616,0.09182383616765344,-0.05804254213968907
car,2.1304090813558867,0.1809730550359211,0.4438138008117676,0.0922118687008202,1.352953592936198,0.3865206440289815,0.41397891441981,0.5196733074624811,0.4902323126792908,0.0386140776335365,0.05729315678278607,0.029834886391957582,-0.0758595066507135,-0.046418511867523216
anth,0.3462149104545018,0.0053408506477722,0.358996828397115,0.019795710700587,1.257964293162028,0.1836273868878682,0.2273584008216858,0.5359472036361694,0.6408576846122742,0.0677654945035454,0.1753694415092468,0.1316384275754292,-0.17695037523905444,-0.2818608562151592
