target,heldout_dataset,model,model_key,mean_r2,mean_rmse,mean_rpd,n_runs
cab,2,Hybrid_BeamK30_SSL_CrossGatedFusion,hybrid_cross_gated_mlp,0.3469381332397461,9.574061171311142,1.2416142225265503,3
cab,2,Hybrid_BeamK30_SSL_CrossGatedNAMHead,hybrid_cross_gated_nam,0.37140854199727374,9.397600782106602,1.263709545135498,3
car,4,Hybrid_BeamK30_SSL_CrossGatedDCNHead,hybrid_cross_gated_dcn,-4.425622304280599,2.824159876779124,0.4313535690307617,3
car,4,Hybrid_BeamK30_SSL_CrossGatedFusion,hybrid_cross_gated_mlp,-4.348559061686198,2.8042219999989584,0.4343644082546234,3
car,4,BeamK30_ResidualMLP,labelled_residual,-4.146680037180583,2.7504882261019965,0.4429266949494679,3
car,4,Hybrid_BeamK30_SSL_CrossGatedNAMHead,hybrid_cross_gated_nam,-4.055566151936849,2.7263003127238847,0.44678258895874023,3
car,2,Hybrid_BeamK30_SSL_CrossGatedDCNHead,hybrid_cross_gated_dcn,-2.03210441271464,2.74282054778341,0.5771703720092773,3
car,2,Hybrid_BeamK30_SSL_CrossGatedFusion,hybrid_cross_gated_mlp,-1.8456509113311768,2.654476519389258,0.5975668430328369,3
car,2,Hybrid_BeamK30_SSL_CrossGatedNAMHead,hybrid_cross_gated_nam,-1.7191809813181556,2.5951777655242068,0.6111982464790344,3
car,2,BeamK30_ResidualMLP,labelled_residual,-1.5291414260864258,2.507241599483192,0.6302804946899414,3
car,47,Hybrid_BeamK30_SSL_CrossGatedNAMHead,hybrid_cross_gated_nam,-1.2068397998809814,2.0192865888635025,0.6894776622454325,3
car,47,Hybrid_BeamK30_SSL_CrossGatedDCNHead,hybrid_cross_gated_dcn,-1.2012100617090862,2.020518068803473,0.6861669023831686,3
car,35,Hybrid_BeamK30_SSL_CrossGatedFusion,hybrid_cross_gated_mlp,-1.1957542498906453,2.5756686680719962,0.6794805526733398,3
car,47,Hybrid_BeamK30_SSL_CrossGatedFusion,hybrid_cross_gated_mlp,-1.1289226214090984,1.9749386422778301,0.7101284861564636,3
car,47,BeamK30_ResidualMLP,labelled_residual,-1.1243099768956502,1.9928234155922804,0.6903181473414103,3
car,35,BeamK30_ResidualMLP,labelled_residual,-0.9560919602711996,2.397532686952037,0.748766819636027,3
car,35,Hybrid_BeamK30_SSL_CrossGatedDCNHead,hybrid_cross_gated_dcn,-0.7947280009587606,2.3106021622156825,0.7708523869514465,3
car,35,Hybrid_BeamK30_SSL_CrossGatedNAMHead,hybrid_cross_gated_nam,-0.7698556184768677,2.31135387295609,0.757921834786733,3
car,37,Hybrid_BeamK30_SSL_CrossGatedFusion,hybrid_cross_gated_mlp,-0.3984529972076416,2.9333829276924477,0.849964956442515,3
car,37,Hybrid_BeamK30_SSL_CrossGatedNAMHead,hybrid_cross_gated_nam,-0.25221538543701166,2.776640137630191,0.8973456422487894,3
car,37,BeamK30_ResidualMLP,labelled_residual,-0.200384775797526,2.7185461276070177,0.9165559013684591,3
car,37,Hybrid_BeamK30_SSL_CrossGatedDCNHead,hybrid_cross_gated_dcn,-0.17439989248911536,2.6895162565269985,0.9260652263959247,3
cbc,13,Hybrid_BeamK30_SSL_CrossGatedDCNHead,hybrid_cross_gated_dcn,-3.052988370259603,0.004240807454236967,0.504736085732778,3
cbc,13,Hybrid_BeamK30_SSL_CrossGatedNAMHead,hybrid_cross_gated_nam,-2.886317571004232,0.0041636168038276,0.5110207994778951,3
cbc,13,Hybrid_BeamK30_SSL_CrossGatedFusion,hybrid_cross_gated_mlp,-2.576188802719116,0.0039915850020402,0.533661812543869,3
cbc,4,Hybrid_BeamK30_SSL_CrossGatedFusion,hybrid_cross_gated_mlp,-2.181303024291992,0.0020433596037698,0.5676734646161398,3
cbc,4,Hybrid_BeamK30_SSL_CrossGatedDCNHead,hybrid_cross_gated_dcn,-1.8393146991729736,0.0019352566998426333,0.5962642629941305,3
cbc,13,BeamK30_ResidualMLP,labelled_residual,-1.5104289849599202,0.0033331879189462,0.6430752674738566,3
