target,best_full_r2,torch_mlp_k30_r2_mean,torch_mlp_k30_r2_std,ssl_rmse_mean,ssl_rmse_std,ssl_r2_mean,ssl_r2_std,ssl_rpd_mean,ssl_minus_torch_mlp_r2
cab,0.5385874509811401,0.5838299751281738,0.020778807304645,11.020313405518628,0.1431723506175483,0.3393285274505615,0.0172289007501135,1.232052445411682,-0.24450144767761228
cw,0.5442371368408203,0.6128196001052857,0.0173625691993278,0.0066517865901115,0.0001528736761365,0.4520301818847656,0.0253166762344635,1.3532005945841472,-0.16078941822052006
cm,0.5775256752967834,0.6607513189315796,0.0271956645201148,0.0043805869397315,0.0001346244430707,0.5218505263328552,0.0296201786906304,1.4485018650690715,-0.13890079259872434
LAI,0.5273088216781616,0.5256685137748718,0.0235651355329318,1.3638703778800554,0.0198634377761692,0.4037261207898457,0.0173769471428012,1.2975828250249226,-0.12194239298502607
cp,0.5059227347373962,0.6129188060760498,0.0147157882330646,0.0003145370757425,1.1910744289524118e-05,0.4904129902521769,0.0382155568260056,1.4041479031244914,-0.12250581582387288
cbc,0.5548825263977051,0.7047489047050476,0.0196520905984887,0.0045519488649262,6.939125768153056e-05,0.4920848409334818,0.0155446292835922,1.4047415256500244,-0.21266406377156577
car,0.5196733074624811,0.4902323126792908,0.0386140776335365,2.241183373606162,0.1050160317301975,0.3865206440289815,0.0574612049174662,1.2815110683441162,-0.10371166865030929
anth,0.5359472036361694,0.6408576846122742,0.0677654945035454,0.3897149800895478,0.0347389279199892,0.1836273868878682,0.1431816459819148,1.1234747568766277,-0.45723029772440604
