family,model,n_traits,mean_r2,median_r2,bootstrap_ci95_low,bootstrap_ci95_high,min_trait_r2,max_trait_r2,traits
labelled,BeamK30_ResidualMLP,8,0.6242237165570259,0.6415550311406453,0.5797490105032921,0.6642583559577664,0.5096455216407776,0.7111464937527975,"LAI,anth,cab,car,cbc,cm,cp,cw"
labelled,BeamK30_Polynomial,8,0.6136382569869359,0.6278646886348724,0.5758603786428769,0.6473251308004062,0.5121614336967468,0.685378352801005,"LAI,anth,cab,car,cbc,cm,cp,cw"
labelled,BeamK30_MLP,8,0.602977196375529,0.6105922261873881,0.5621204044048985,0.6446750362714131,0.5064074595769247,0.7113483945528666,"LAI,anth,cab,car,cbc,cm,cp,cw"
physics,CrossGatedPhysicsMultitask,8,0.6008338332176208,0.606147825717926,0.5558091849088669,0.6410129815340042,0.4741742014884949,0.6857861280441284,"LAI,anth,cab,car,cbc,cm,cp,cw"
physics,CrossGatedMultitask,8,0.6000700443983078,0.6045002043247223,0.5550588993355632,0.6396964490413666,0.4726698994636535,0.6839402914047241,"LAI,anth,cab,car,cbc,cm,cp,cw"
hybrid_ssl,Hybrid_BeamK30_SSL_CrossGatedNAMHead,8,0.5975666493177414,0.596275250116984,0.5592232073346773,0.636578195542097,0.5113224784533182,0.6930999755859375,"LAI,anth,cab,car,cbc,cm,cp,cw"
hybrid_ssl,Hybrid_BeamK30_SSL_CrossGatedDCNHead,8,0.5886599992712338,0.5683202743530273,0.5508298598229885,0.6320738618572552,0.5121478835741679,0.7069971362749735,"LAI,anth,cab,car,cbc,cm,cp,cw"
hybrid_ssl,Hybrid_BeamK30_SSL_CrossGatedFusion,24,0.5832774639129639,0.5859059194723765,0.5545651813348134,0.6102414465819795,0.4365389148394267,0.6825400789578756,"LAI,LAI,LAI,anth,anth,anth,cab,cab,cab,car,car,car,cbc,cbc,cbc,cm,cm,cm,cp,cp,cp,cw,cw,cw"
