target,fusion_method,model,r2_mean,rmse_mean,r2_std
LAI,FiLM conditioning,BeamK30_SSL128_FiLMFusion,0.5967841148376465,1.121273368699316,0.0249503042823166
anth,Beam only,BeamK30_ResidualMLP,0.6243601044019064,0.2643474054894283,0.0681739004140126
cab,Beam + SSL additive,BeamK30_SSL128_AdditiveFusion,0.5722448627154032,8.867026964020024,0.0150400334744176
car,Cross-gated NAM,Hybrid_BeamK30_SSL_CrossGatedNAMHead,0.5387084285418192,1.944595610399075,0.0177644078913974
cbc,Beam only,BeamK30_ResidualMLP,0.7111464937527975,0.0034323210149548,0.0140527595245544
cm,Beam only,BeamK30_ResidualMLP,0.6753223737080892,0.003607470751692,0.0349663206388278
cp,Beam only,BeamK30_ResidualMLP,0.645281175772349,0.0002625394721709,0.007807817910327
cw,Beam only,BeamK30_ResidualMLP,0.6598751942316691,0.0052396078696704,0.0221870643201282
