target,variant,budget,effective_channels,r2_mean,r2_std,rmse_mean,rmse_std,rpd_mean,rpd_std
cw,direct_k10,10,10,0.6796466509501139,0.0136975737642523,0.0050860944156124,0.0001091530673197,1.7696977456410723,0.0382561562910456
cw,direct_k20,20,20,0.673768937587738,0.004373815595112,0.0051332522203179,3.4382919969963284e-05,1.7529500722885132,0.0117217234594363
cw,direct_k30,30,30,0.6649557948112488,0.0136028502369009,0.0052014959754433,0.0001052164505225,1.730368177096049,0.0347406749926016
cw,merged_gaussian_fwhm10,K30 selected then finite-bandpass,13,0.6794210076332092,0.0173938756255854,0.0050873980430335,0.0001391439784184,1.769593318303426,0.0491499388235488
cw,merged_gaussian_fwhm20,K30 selected then finite-bandpass,12,0.6699076493581136,0.0232372234088672,0.0051614460287164,0.0001834412109623,1.7448185682296753,0.0631357368520979
cw,raw_nm,K30 selected then finite-bandpass,30,0.6649557948112488,0.0136028502369009,0.0052014959754433,0.0001052164505225,1.730368177096049,0.0347406749926016
