target,model_labelled,r2_mean_labelled,rmse_mean_labelled,model_hybrid,r2_mean_hybrid,rmse_mean_hybrid,hybrid_minus_labelled_r2
LAI,BeamK30_ResidualMLP,0.5843615333239237,1.1385820621371454,Hybrid_BeamK30_SSL_CrossGatedFusion,0.5815613667170206,1.1422471652201582,-0.002800166606903076
anth,BeamK30_ResidualMLP,0.6378288865089417,0.2593140083038967,Hybrid_BeamK30_SSL_CrossGatedDCNHead,0.5448588331540426,0.2916352166849383,-0.09297005335489905
cab,BeamK30_MLP,0.5781370997428894,8.805333629753756,Hybrid_BeamK30_SSL_CrossGatedBilinearFusion,0.570552666982015,8.883720195232293,-0.007584432760874393
car,BeamK30_KAN,0.5168808499972025,1.9885665388750235,Hybrid_BeamK30_SSL_CrossGatedBilinearFusion,0.5518512924512228,1.915166385665612,0.034970442454020256
cbc,BeamK30_MLP,0.7113483945528666,0.0034314764282125,Hybrid_BeamK30_SSL_CrossGatedDCNHead,0.7069971362749735,0.003457457704764,-0.004351258277893066
cm,BeamK30_ResidualMLP,0.6753223737080892,0.003607470751692,Hybrid_BeamK30_SSL_CrossGatedFusion,0.6577079693476359,0.0037069336277053,-0.017614404360453362
cp,BeamK30_Polynomial,0.6562027533849081,0.0002584567809674,Hybrid_BeamK30_SSL_CrossGatedDCNHead,0.6140727400779724,0.0002738552977982,-0.042130013306935665
cw,BeamK30_ResidualMLP,0.6610911885897318,0.0052304307434215,Hybrid_BeamK30_SSL_CrossGatedFusion,0.5902504722277323,0.0057524180051976,-0.07084071636199951
