target,seed,compact_r2,compact_rmse,compact_rpd,baseline_model,full_r2,full_rmse,full_rpd,delta_r2_compact_minus_full,delta_rmse_compact_minus_full,comparison
LAI,0,0.5333993434906006,1.2065729054928804,1.4665379524230957,PLSR_20,0.509567967238375,1.2370017725816098,1.4304627180099487,0.023831376252225533,-0.030428867088729383,BeamK30 ResidualMLP - best full-spectrum baseline
LAI,1,0.4953065514564514,1.254858445699104,1.410107135772705,PLSR_20,0.509567967238375,1.2370017725816098,1.4304627180099487,-0.014261415781923636,0.01785667311749428,BeamK30 ResidualMLP - best full-spectrum baseline
LAI,2,0.5364843010902405,1.2025776398273094,1.4714101552963257,PLSR_20,0.509567967238375,1.2370017725816098,1.4304627180099487,0.026916333851865426,-0.03442413275430045,BeamK30 ResidualMLP - best full-spectrum baseline
LAI,3,0.5086320638656616,1.2381814621630884,1.4290997982025146,PLSR_20,0.509567967238375,1.2370017725816098,1.4304627180099487,-0.0009359033727134314,0.0011796895814786268,BeamK30 ResidualMLP - best full-spectrum baseline
LAI,4,0.554520308971405,1.1789485815093963,1.5009007453918457,PLSR_20,0.509567967238375,1.2370017725816098,1.4304627180099487,0.04495234173302998,-0.05805319107221352,BeamK30 ResidualMLP - best full-spectrum baseline
anth,0,0.6980760097503662,0.2376287312222213,1.832509994506836,PLSR_20,0.52127511716679,0.2992217244576988,1.4552987813949585,0.17680089258357623,-0.06159299323547748,BeamK30 ResidualMLP - best full-spectrum baseline
anth,1,0.5779246091842651,0.2809604107570958,1.5498874187469482,PLSR_20,0.52127511716679,0.2992217244576988,1.4552987813949585,0.056649492017475156,-0.018261313700602966,BeamK30 ResidualMLP - best full-spectrum baseline
anth,2,0.6767332553863525,0.2458842006013051,1.770984172821045,PLSR_20,0.52127511716679,0.2992217244576988,1.4552987813949585,0.15545813821956256,-0.053337523856393704,BeamK30 ResidualMLP - best full-spectrum baseline
anth,3,0.6943055391311646,0.2391078946391136,1.8211737871170044,PLSR_20,0.52127511716679,0.2992217244576988,1.4552987813949585,0.17303042196437457,-0.06011382981858518,BeamK30 ResidualMLP - best full-spectrum baseline
anth,4,0.5572490096092224,0.287759641355733,1.5132665634155271,PLSR_20,0.52127511716679,0.2992217244576988,1.4552987813949585,0.03597389244243243,-0.011462083101965781,BeamK30 ResidualMLP - best full-spectrum baseline
cab,0,0.5715339183807373,8.875315485974903,1.5296456813812256,Ridge,0.5385874509811401,9.210225965148824,1.4740233421325684,0.03294646739959717,-0.3349104791739208,BeamK30 ResidualMLP - best full-spectrum baseline
cab,1,0.5717149972915649,8.873440457716535,1.5299688577651978,Ridge,0.5385874509811401,9.210225965148824,1.4740233421325684,0.033127546310424805,-0.33678550743228897,BeamK30 ResidualMLP - best full-spectrum baseline
cab,2,0.5679276585578918,8.912588119606228,1.5232486724853516,Ridge,0.5385874509811401,9.210225965148824,1.4740233421325684,0.02934020757675171,-0.29763784554259587,BeamK30 ResidualMLP - best full-spectrum baseline
cab,3,0.6174700260162354,8.386067379805198,1.618886113166809,Ridge,0.5385874509811401,9.210225965148824,1.4740233421325684,0.07888257503509521,-0.8241585853436266,BeamK30 ResidualMLP - best full-spectrum baseline
cab,4,0.5905032753944397,8.676624543943486,1.564673900604248,Ridge,0.5385874509811401,9.210225965148824,1.4740233421325684,0.05191582441329956,-0.5336014212053382,BeamK30 ResidualMLP - best full-spectrum baseline
car,0,0.4843882322311401,2.0561577355924023,1.3947865962982178,SVR_RBF,0.5196733074624811,1.9845562404473431,1.4451096057891846,-0.035285075231341,0.0716014951450592,BeamK30 ResidualMLP - best full-spectrum baseline
car,1,0.4865808486938476,2.051781168990393,1.3977618217468262,SVR_RBF,0.5196733074624811,1.9845562404473431,1.4451096057891846,-0.03309245876863348,0.06722492854304973,BeamK30 ResidualMLP - best full-spectrum baseline
car,2,0.5308237075805664,1.9613859112281504,1.4621809720993042,SVR_RBF,0.5196733074624811,1.9845562404473431,1.4451096057891846,0.011150400118085324,-0.02317032921919271,BeamK30 ResidualMLP - best full-spectrum baseline
car,3,0.5181905031204224,1.9876169470202945,1.44288432598114,SVR_RBF,0.5196733074624811,1.9845562404473431,1.4451096057891846,-0.001482804342058719,0.0030607065729513216,BeamK30 ResidualMLP - best full-spectrum baseline
car,4,0.4311782717704773,2.1596488149691844,1.327947974205017,SVR_RBF,0.5196733074624811,1.9845562404473431,1.4451096057891846,-0.08849503569200379,0.17509257452184124,BeamK30 ResidualMLP - best full-spectrum baseline
cbc,0,0.6875678896903992,0.0035703701802009,1.7906627655029297,Ridge,0.5545598864555359,0.0042631447924857,1.4996743202209473,0.13300800323486328,-0.0006927746122848003,BeamK30 ResidualMLP - best full-spectrum baseline
cbc,1,0.7353942394256592,0.0032857541758716,1.9457720518112185,Ridge,0.5545598864555359,0.0042631447924857,1.4996743202209473,0.1808343529701233,-0.0009773906166141003,BeamK30 ResidualMLP - best full-spectrum baseline
cbc,2,0.6882083415985107,0.0035667091765913,1.7925007343292236,Ridge,0.5545598864555359,0.0042631447924857,1.4996743202209473,0.13364845514297485,-0.0006964356158944002,BeamK30 ResidualMLP - best full-spectrum baseline
cbc,3,0.7102978229522705,0.0034380431310873,1.8595836162567136,Ridge,0.5545598864555359,0.0042631447924857,1.4996743202209473,0.15573793649673462,-0.0008251016613984004,BeamK30 ResidualMLP - best full-spectrum baseline
cbc,4,0.7022762298583984,0.0034853162719626,1.83436119556427,Ridge,0.5545598864555359,0.0042631447924857,1.4996743202209473,0.14771634340286255,-0.0007778285205231003,BeamK30 ResidualMLP - best full-spectrum baseline
cm,0,0.6710937023162842,0.0036343205642359,1.744854211807251,RandomForest,0.5328071344218074,0.0043314693138201,1.4640203714370728,0.1382865678944768,-0.0006971487495842001,BeamK30 ResidualMLP - best full-spectrum baseline
