target,BeamK30_MLP,BeamK30_ResidualMLP,BeamK30_Polynomial,BeamK30_KAN,BeamK30_DCN,BeamK30_NAM
LAI,0.5377517342567444,0.5843615333239237,0.5807451407114664,0.519441028436025,0.5486107269922892,0.3835930029551188
anth,0.6351396640141805,0.6378288865089417,0.6203470826148987,0.5740791161855062,-0.1063698331514994,0.442710796991984
cab,0.5781370997428894,0.5691125591595968,0.5726921558380127,0.546010156472524,0.5544998049736023,0.4226104617118835
car,0.5064074595769247,0.5096455216407776,0.5121614336967468,0.5168808499972025,0.4659194151560465,0.4096538821856181
cbc,0.7113483945528666,0.7111464937527975,0.685378352801005,0.6947519580523173,0.7073981364568075,0.4575154781341553
cm,0.63384876648585,0.6753223737080892,0.6461968421936035,0.6585937341054281,0.6500942905743917,0.4107708930969238
cp,0.6117934981981913,0.645281175772349,0.6562027533849081,0.5946114460627238,0.5697703957557678,0.375735342502594
cw,0.6093909541765848,0.6610911885897318,0.6353822946548462,0.6014150182406107,0.6083160042762756,0.4132620692253113
