model,target,target_calibration_percent,n_evaluations,mean_calibration_rows,median_calibration_rows,min_calibration_rows,max_calibration_rows,mean_test_rows,mean_r2,median_r2
Hybrid Cross-Gated NAM,LAI,0,15,0.0,0.0,0,0,190.2,-0.011395136515299479,-0.046422004699707
Hybrid Cross-Gated NAM,LAI,5,15,9.6,8.0,5,18,180.6,-0.2316181778907776,-0.1430591344833374
Hybrid Cross-Gated NAM,LAI,10,15,19.0,16.0,9,36,171.2,0.12043912808100384,0.0077950954437255
Hybrid Cross-Gated NAM,LAI,20,15,38.2,32.0,18,73,152.0,0.1427399754524231,0.0700842142105102
Hybrid Cross-Gated NAM,LAI,30,15,57.0,47.0,27,109,133.2,0.1387864351272583,0.0646333694458007
Hybrid Cross-Gated NAM,LAI,40,15,75.8,63.0,36,145,114.4,0.12977582613627117,0.0970878601074218
Hybrid Cross-Gated NAM,LAI,50,15,95.2,79.0,46,182,95.0,0.1478018999099731,0.049014389514923
Hybrid Cross-Gated NAM,cab,0,15,0.0,0.0,0,0,204.6,-0.026064976056416837,-0.0048921108245849
Hybrid Cross-Gated NAM,cab,5,15,10.0,8.0,7,18,194.6,0.05627916256586709,0.2092660665512085
Hybrid Cross-Gated NAM,cab,10,15,20.4,17.0,15,36,184.2,0.1758880376815796,0.2263156771659851
Hybrid Cross-Gated NAM,cab,20,15,40.8,33.0,30,72,163.8,0.2424654483795166,0.2701322436332702
Hybrid Cross-Gated NAM,cab,30,15,61.6,50.0,45,109,143.0,0.2542966524759928,0.2842358946800232
Hybrid Cross-Gated NAM,cab,40,15,82.0,67.0,60,145,122.6,0.2490249792734782,0.2968156933784485
Hybrid Cross-Gated NAM,cab,50,15,102.2,84.0,74,181,102.4,0.2636872212092081,0.2637645006179809
Hybrid Cross-Gated NAM,car,0,15,0.0,0.0,0,0,204.2,-1.6007315874099732,-1.1598796844482422
Hybrid Cross-Gated NAM,car,5,15,10.0,8.0,7,18,194.2,-0.04739797910054522,-0.0357966423034668
Hybrid Cross-Gated NAM,car,10,15,20.4,17.0,15,36,183.8,0.06177904208501179,0.041951298713684
Hybrid Cross-Gated NAM,car,20,15,40.6,33.0,29,72,163.6,0.13845343589782713,0.0730787515640258
Hybrid Cross-Gated NAM,car,30,15,61.4,50.0,44,109,142.8,0.12938005129496255,0.0655477046966552
Hybrid Cross-Gated NAM,car,40,15,81.8,67.0,59,145,122.4,0.16309299866358437,0.0876933336257934
Hybrid Cross-Gated NAM,car,50,15,102.2,84.0,74,181,102.0,0.17206662893295285,0.1090564131736755
Hybrid Cross-Gated NAM,cbc,0,15,0.0,0.0,0,0,230.0,-0.533997388680776,0.2689728736877441
Hybrid Cross-Gated NAM,cbc,5,15,11.4,9.0,8,16,218.6,0.1646790862083435,0.1164636611938476
Hybrid Cross-Gated NAM,cbc,10,15,23.0,18.0,17,33,207.0,0.20151922305425007,0.1974076628684997
Hybrid Cross-Gated NAM,cbc,20,15,46.0,36.0,33,66,184.0,0.3138169248898824,0.3448514938354492
Hybrid Cross-Gated NAM,cbc,30,15,68.8,53.0,50,99,161.2,0.29960117340087883,0.2875924706459045
Hybrid Cross-Gated NAM,cbc,40,15,92.0,71.0,67,132,138.0,0.301627250512441,0.3257672190666199
Hybrid Cross-Gated NAM,cbc,50,15,115.2,89.0,84,165,114.8,0.29829377333323154,0.3376888632774353
Hybrid Cross-Gated NAM,cm,0,15,0.0,0.0,0,0,295.8,-0.5150620023409526,0.4104394316673279
Hybrid Cross-Gated NAM,cm,5,15,14.6,15.0,9,18,281.2,0.1922560175259908,0.1342815160751342
Hybrid Cross-Gated NAM,cm,10,15,29.4,30.0,18,36,266.4,0.2583047350247701,0.3001707196235657
Hybrid Cross-Gated NAM,cm,20,15,59.2,61.0,36,72,236.6,0.3608670671780904,0.5453068017959595
Hybrid Cross-Gated NAM,cm,30,15,88.6,91.0,54,108,207.2,0.3709711074829102,0.5483976602554321
Hybrid Cross-Gated NAM,cm,40,15,118.4,122.0,72,144,177.4,0.37729735374450685,0.4725640416145324
Hybrid Cross-Gated NAM,cm,50,15,147.8,152.0,90,180,148.0,0.3968988060951233,0.559686541557312
Hybrid Cross-Gated NAM,cp,0,15,0.0,0.0,0,0,230.0,-0.31625115871429443,0.0750771760940551
Hybrid Cross-Gated NAM,cp,5,15,11.4,9.0,8,16,218.6,0.08427545229593911,0.0380032062530517
Hybrid Cross-Gated NAM,cp,10,15,23.0,18.0,17,33,207.0,0.13384280602137247,0.1160105466842651
