target,r2_at_10_percent,r2_at_10_percent_std,r2_at_100_percent,r2_at_100_percent_std,rmse_at_10_percent,rmse_at_100_percent,train_rows_10_percent,train_rows_100_percent
LAI,0.2504165967305501,0.0366364529876662,0.5288326342900594,0.0151832305429729,1.5289916570450237,1.2123583034873675,116.0,1165.0
anth,-0.2768168449401855,0.6131060543529,0.6657377084096273,0.0226270871522277,0.4782490073829232,0.249933579447122,29.0,289.0
cab,0.3714609742164612,0.0229551620503782,0.5732482075691223,0.0332430226338183,10.748379201307422,8.85296727296361,161.0,1609.0
car,0.2707937359809875,0.093801405705113,0.5096460382143656,0.0042493102843574,2.441861825988331,2.0051512834942598,134.0,1335.0
cbc,0.4963026046752929,0.0403604627646101,0.7002201676368713,0.0050032914939228,0.004530949486856,0.0034972484954957,220.0,2203.0
cm,0.4996252059936523,0.0786953749162607,0.6666019360224406,0.0106998804325423,0.0044731248653047,0.0036587357944228,294.0,2944.0
cp,0.4096696774164836,0.0464086382458234,0.6202263633410136,0.0170536215887432,0.0003385278720479,0.0002716192118245,220.0,2203.0
cw,0.3396380543708801,0.0463037597457776,0.6100189288457235,0.0201227570782916,0.0073004759200318,0.0056112707053266,168.0,1676.0
