target,Hybrid_BeamK30_SSL_CrossGatedBilinearFusion,Hybrid_BeamK30_SSL_CrossGatedDCNHead,Hybrid_BeamK30_SSL_CrossGatedFusion,Hybrid_BeamK30_SSL_CrossGatedHighwayHead
LAI,0.5687303940455118,0.5524733463923136,0.5815613667170206,0.537985364596049
anth,0.448492685953776,0.5448588331540426,0.4365389148394267,0.5009406208992004
cab,0.570552666982015,0.5532166163126627,0.5652087529500326,0.5448286334673563
car,0.5518512924512228,0.5121478835741679,0.5473736524581909,0.5101285378138224
cbc,0.67580113808314,0.7069971362749735,0.6825400789578756,0.6437004804611206
cm,0.6348271568616232,0.6420895059903463,0.6577079693476359,0.6321067810058594
cp,0.5994841059048971,0.6140727400779724,0.6050385038057963,0.6043154001235962
cw,0.5820244153340658,0.583423932393392,0.5902504722277323,0.5725419720013937
