model,target_calibration_percent,mean_r2,median_r2,rmse,rpd,traits_improved,n_evaluations
BeamK30 ResidualMLP,0,-0.5038646811530704,-0.15557563304901123,2.0650855153384082,0.9636542147114163,0,105
BeamK30 ResidualMLP,5,-0.055606549694424585,0.034370601177215576,2.0133736610161925,1.0567751447359721,5,105
BeamK30 ResidualMLP,10,0.15457617214747837,0.12411665916442871,1.8115154504551385,1.1434123572849093,7,105
BeamK30 ResidualMLP,20,0.23708234684807913,0.22545963525772095,1.7414757972691384,1.1948315200351534,7,105
Hybrid Cross-Gated NAM,0,-0.5199965726761591,-0.04642200469970703,2.052161026994767,0.9777368690286364,0,105
Hybrid Cross-Gated NAM,5,0.027154049419221424,0.03800320625305176,1.904425997728733,1.0909229136648633,6,105
Hybrid Cross-Gated NAM,10,0.17166304474785216,0.1912473440170288,1.7663871819200705,1.1526873668034872,7,105
Hybrid Cross-Gated NAM,20,0.2532139738400777,0.2596786618232727,1.7107020855080999,1.2106894930203755,7,105
