target,best_full_r2,torch_mlp_k30_r2_mean,torch_mlp_k30_r2_std,random_ssl_r2_mean,random_ssl_r2_std,random_ssl_rmse_mean,contig_rmse_mean,contig_rmse_std,contig_r2_mean,contig_r2_std,contig_rpd_mean,contig_minus_random_ssl_r2,contig_minus_torch_mlp_r2
cab,0.5385874509811401,0.5838299751281738,0.020778807304645,0.3393285274505615,0.0172289007501135,11.020313405518628,11.027794577562767,0.1928381156977082,0.3383708000183105,0.0231448699485185,1.2313299576441448,-0.0009577274322510321,-0.24545917510986331
cw,0.5442371368408203,0.6128196001052857,0.0173625691993278,0.4520301818847656,0.0253166762344635,0.0066517865901115,0.0067508652521553,9.80199973321627e-05,0.4357039332389831,0.0163850431216233,1.3330633242925007,-0.016326248645782526,-0.1771156668663026
cm,0.5775256752967834,0.6607513189315796,0.0271956645201148,0.5218505263328552,0.0296201786906304,0.0043805869397315,0.0042674920334092,5.747702959552688e-05,0.5464515487353007,0.0121711000003767,1.486149748166402,0.024601022402445438,-0.1142997701962789
LAI,0.5273088216781616,0.5256685137748718,0.0235651355329318,0.4037261207898457,0.0173769471428012,1.3638703778800554,1.366584101144927,0.0350521684077026,0.4011730154355367,0.0309297588657653,1.2953832546869914,-0.0025531053543090265,-0.1244954983393351
cp,0.5059227347373962,0.6129188060760498,0.0147157882330646,0.4904129902521769,0.0382155568260056,0.0003145370757425,0.0003024270067042,5.565194105852683e-06,0.5292407472928365,0.017328034015722,1.4592818816502888,0.03882775704065966,-0.08367805878321322
cbc,0.5548825263977051,0.7047489047050476,0.0196520905984887,0.4920848409334818,0.0155446292835922,0.0045519488649262,0.0042031107785439,0.0001421426557389,0.5666869084040324,0.0294986947507786,1.5222387711207073,0.07460206747055054,-0.13806199630101523
car,0.5196733074624811,0.4902323126792908,0.0386140776335365,0.3865206440289815,0.0574612049174662,2.241183373606162,2.1916283134568584,0.0530306968545873,0.41397891441981,0.0281818467841994,1.309088150660197,0.027458270390828488,-0.0762533982594808
anth,0.5359472036361694,0.6408576846122742,0.0677654945035454,0.1836273868878682,0.1431816459819148,0.3897149800895478,0.3796852697830707,0.0226688678517247,0.2273584008216858,0.0924885726490228,1.149598757425944,0.04373101393381759,-0.4134992837905884
