target,Hybrid_BeamK30_SSL_CrossGatedFusion,Hybrid_BeamK30_SSL_CrossGatedNAMHead,Hybrid_BeamK30_SSL_CrossGatedPolynomialHead,Hybrid_BeamK30_SSL_CrossGatedSparseMoEHead
LAI,0.5815613667170206,0.5882029334704081,0.5623708566029867,0.5388878385225931
anth,0.4365389148394267,0.5113224784533182,0.4810052315394084,0.4580941398938497
cab,0.5652087529500326,0.5655241012573242,0.5590634346008301,0.5518145362536112
car,0.5473736524581909,0.5394019881884257,0.5083245833714803,0.4872478048006693
cbc,0.6825400789578756,0.6930999755859375,0.6672130028406779,0.6779616475105286
cm,0.6577079693476359,0.648872991402944,0.6424068609873453,0.6572336951891581
cp,0.6050385038057963,0.6297611594200134,0.5895588596661886,0.6129498879114786
cw,0.5902504722277323,0.6043475667635599,0.5892449816068014,0.5721384684244791
