target,model,r2_mean,rmse_mean,mlp_r2,mlp_rmse,r2_gain_vs_mlp
LAI,BeamK30_ResidualMLP,0.5843615333239237,1.1385820621371454,0.5377517342567444,1.2002233323629354,0.046609799067179325
anth,BeamK30_ResidualMLP,0.6378288865089417,0.2593140083038967,0.6351396640141805,0.260961710862974,0.002689222494761112
cab,BeamK30_MLP,0.5781370997428894,8.805333629753756,0.5781370997428894,8.805333629753756,0.0
car,BeamK30_KAN,0.5168808499972025,1.9885665388750235,0.5064074595769247,2.0112648888087183,0.01047339042027784
cbc,BeamK30_MLP,0.7113483945528666,0.0034314764282125,0.7113483945528666,0.0034314764282125,0.0
cm,BeamK30_ResidualMLP,0.6753223737080892,0.003607470751692,0.63384876648585,0.0038322778430571,0.04147360722223925
cp,BeamK30_Polynomial,0.6562027533849081,0.0002584567809674,0.6117934981981913,0.000274643185028,0.04440925518671679
cw,BeamK30_ResidualMLP,0.6610911885897318,0.0052304307434215,0.6093909541765848,0.0056168481605555,0.05170023441314697
