experiment,target,model,budget,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,rpd_mean,rpd_std
BeamSearch+KAN stability,cab,KAN,30,9.786609863256995,0.2652267272150995,7.066057395935059,0.1403617200107421,0.4787231206893921,0.028006215949971,1.3880401611328126,0.0382758185273943
BeamSearch+PLSR selector stability,cab,PLSR,30,9.649741787762778,0.0984779860856756,7.398228246717915,0.0831371167174684,0.4934569770356864,0.0103195937058686,1.4070038080215457,0.0144114832471667
BeamSearch+TorchMLP stability,cab,TorchMLP,30,8.74480719740927,0.2208350616767567,6.27034969329834,0.2118128921974501,0.5838299751281738,0.020778807304645,1.5532846450805664,0.0401181191891792
BeamSearch+KAN stability,cm,KAN,30,0.0040384951213138,0.0001067771894259,0.0025165109429508,8.24194560464721e-05,0.593643069267273,0.0215498393440094,1.5711013555526734,0.0412787000770185
BeamSearch+PLSR selector stability,cm,PLSR,30,0.0044801544587309,4.251207669861918e-05,0.0031515887932384,5.8909421293890034e-05,0.5001462271282172,0.0094789307384359,1.4155353546142575,0.0134511602538815
BeamSearch+TorchMLP stability,cm,TorchMLP,30,0.0036887492350747,0.0001446853381596,0.0022891359403729,0.0001123297602977,0.6607513189315796,0.0271956645201148,1.721133828163147,0.0645619049241996
BeamSearch+KAN stability,cw,KAN,30,0.0063769889872148,0.000135693235595,0.0041555316187441,6.341138215365081e-05,0.4963652014732361,0.0217137211977177,1.4115190029144289,0.0292506152630018
BeamSearch+PLSR selector stability,cw,PLSR,30,0.0066442294084803,5.305712539910767e-05,0.004657845124627,6.956733322528811e-05,0.453439180537604,0.0087134301232283,1.354337167739868,0.0108528400833524
BeamSearch+TorchMLP stability,cw,TorchMLP,30,0.0055911996313675,0.0001259473317666,0.0037171534262597,7.810940632450927e-05,0.6128196001052857,0.0173625691993278,1.609986162185669,0.0366103652328566
