target,CrossGatedMultitask,CrossGatedPhysicsMultitask
LAI,0.5663167238235474,0.5669498443603516
anth,0.4726698994636535,0.4741742014884949
cab,0.5890307426452637,0.5903121829032898
car,0.5781994462013245,0.5759648680686951
cbc,0.6839402914047241,0.6857861280441284
cm,0.6627399921417236,0.6645704507827759
cp,0.6276935935020447,0.626929521560669
cw,0.6199696660041809,0.6219834685325623
