target,semisup_warmup_r2,semisup_warmup_rmse,warmup_best_epoch,semisup_first_r2,semisup_first_rmse,first_best_epoch,random_ssl_r2,contig_ssl_r2,best_full_r2,torch_mlp_k30_r2_mean,warmup_minus_first,warmup_minus_contig_ssl,warmup_minus_torchmlp
cab,0.080552339553833,13.001369697600014,11,0.1013513803482055,12.85347511413803,1,0.3393285274505615,0.3383708000183105,0.5385874509811401,0.5838299751281738,-0.020799040794372503,-0.2578184604644775,-0.5032776355743408
cw,0.1722794771194458,0.0081767045947828,11,0.1797875761985778,0.008139535147125,1,0.4520301818847656,0.4357039332389831,0.5442371368408203,0.6128196001052857,-0.007508099079131997,-0.2634244561195373,-0.4405401229858399
cm,0.2428362965583801,0.0055141940489102,11,0.2319787144660949,0.0055535893839051,1,0.5218505263328552,0.5464515487353007,0.5775256752967834,0.6607513189315796,0.010857582092285212,-0.30361525217692054,-0.41791502237319944
cbc,0.2418146729469299,0.0055618992553745,11,0.2206673622131347,0.0056389319622203,1,0.4920848409334818,0.5666869084040324,0.5548825263977051,0.7047489047050476,0.021147310733795194,-0.3248722354571024,-0.46293423175811765
