budget,mean_r2_across_traits,mean_rpd_across_traits
5,0.5297902300953865,1.4775028228759766
10,0.598811571796735,1.6089173952738445
20,0.6252658019463221,1.6592291196187336
30,0.6206342950463295,1.6466357509295146
