target,model_labelled,r2_mean_labelled,rmse_mean_labelled,model_hybrid,r2_mean_hybrid,rmse_mean_hybrid,model_physics,r2_mean_physics,rmse_mean_physics,hybrid_minus_labelled_r2,physics_minus_labelled_r2,physics_minus_hybrid_r2
LAI,BeamK30_ResidualMLP,0.5843615333239237,1.1385820621371454,Hybrid_BeamK30_SSL_CrossGatedNAMHead,0.5882029334704081,1.1331797149299454,CrossGatedPhysicsMultitask,0.5669498443603516,1.162385026311947,0.003841400146484375,-0.017411688963572147,-0.021253089110056522
anth,BeamK30_ResidualMLP,0.6378288865089417,0.2593140083038967,Hybrid_BeamK30_SSL_CrossGatedDCNHead,0.5448588331540426,0.2916352166849383,CrossGatedPhysicsMultitask,0.4741742014884949,0.3135964114005413,-0.09297005335489905,-0.16365468502044678,-0.07068463166554773
cab,BeamK30_MLP,0.5781370997428894,8.805333629753756,Hybrid_BeamK30_SSL_CrossGatedBilinearFusion,0.570552666982015,8.883720195232293,CrossGatedPhysicsMultitask,0.5903121829032898,8.678649345824121,-0.007584432760874393,0.01217508316040039,0.019759515921274784
car,BeamK30_KAN,0.5168808499972025,1.9885665388750235,Hybrid_BeamK30_SSL_CrossGatedBilinearFusion,0.5518512924512228,1.915166385665612,CrossGatedMultitask,0.5781994462013245,1.8597244447228416,0.034970442454020256,0.061318596204121945,0.026348153750101688
cbc,BeamK30_MLP,0.7113483945528666,0.0034314764282125,Hybrid_BeamK30_SSL_CrossGatedDCNHead,0.7069971362749735,0.003457457704764,CrossGatedPhysicsMultitask,0.6857861280441284,0.0035805364059271,-0.004351258277893066,-0.025562266508738163,-0.021211008230845096
cm,BeamK30_ResidualMLP,0.6753223737080892,0.003607470751692,Hybrid_BeamK30_SSL_CrossGatedFusion,0.6577079693476359,0.0037069336277053,CrossGatedPhysicsMultitask,0.6645704507827759,0.0036701837327407,-0.017614404360453362,-0.01075192292531335,0.006862481435140011
cp,BeamK30_Polynomial,0.6562027533849081,0.0002584567809674,Hybrid_BeamK30_SSL_CrossGatedNAMHead,0.6297611594200134,0.0002681708419014,CrossGatedMultitask,0.6276935935020447,0.0002689802626322,-0.02644159396489465,-0.0285091598828634,-0.00206756591796875
cw,BeamK30_ResidualMLP,0.6610911885897318,0.0052304307434215,Hybrid_BeamK30_SSL_CrossGatedNAMHead,0.6043475667635599,0.0056524316685333,CrossGatedPhysicsMultitask,0.6219834685325623,0.0055257575338912,-0.056743621826171875,-0.03910772005716956,0.017635901769002316
