target,semisup_r2,semisup_rmse,best_epoch,random_ssl_r2,contig_ssl_r2,best_full_r2,torch_mlp_k30_r2_mean,semisup_minus_contig_ssl,semisup_minus_torchmlp
cab,0.1013513803482055,12.85347511413803,1,0.3393285274505615,0.3383708000183105,0.5385874509811401,0.5838299751281738,-0.23701941967010498,-0.4824785947799683
cw,0.1797875761985778,0.008139535147125,1,0.4520301818847656,0.4357039332389831,0.5442371368408203,0.6128196001052857,-0.2559163570404053,-0.4330320239067079
cm,0.2319787144660949,0.0055535893839051,1,0.5218505263328552,0.5464515487353007,0.5775256752967834,0.6607513189315796,-0.3144728342692058,-0.4287726044654847
cbc,0.2206673622131347,0.0056389319622203,1,0.4920848409334818,0.5666869084040324,0.5548825263977051,0.7047489047050476,-0.34601954619089764,-0.4840815424919129
