target,hybrid_r2,hybrid_r2_std,hybrid_rmse,hybrid_rmse_std,random_ssl_r2,contig_ssl_r2,best_full_r2,torch_mlp_k30_r2_mean,torch_mlp_k30_r2_std,hybrid_minus_contig_ssl,hybrid_minus_torchmlp,hybrid_minus_full
cab,0.5380175511042277,0.010378975954832,9.21552222803908,0.1038466069380754,0.3393285274505615,0.3383708000183105,0.5385874509811401,0.5838299751281738,0.020778807304645,0.19964675108591717,-0.04581242402394614,-0.0005698998769124719
cbc,0.6467063625653585,0.0104424981042642,0.0037963957724679,5.6308509061152895e-05,0.4920848409334818,0.5666869084040324,0.5548825263977051,0.7047489047050476,0.0196520905984887,0.08001945416132616,-0.05804254213968907,0.09182383616765344
cm,0.6341822942097982,0.0148673282536242,0.0038323077440955,7.744994302081409e-05,0.5218505263328552,0.5464515487353007,0.5775256752967834,0.6607513189315796,0.0271956645201148,0.08773074547449755,-0.026569024721781354,0.05665661891301477
cw,0.5079461932182312,0.0226056782275144,0.006303290311163,0.000143894843266,0.4520301818847656,0.4357039332389831,0.5442371368408203,0.6128196001052857,0.0173625691993278,0.0722422599792481,-0.10487340688705449,-0.03629094362258911
