comparison,n_pairs,mean_delta_r2,median_delta_r2,ci95_low,ci95_high,wilcoxon_p_value,effect_size_cohen_dz,traits_improved,traits_compared,interpretation
Hybrid NAM - Beam ResidualMLP,24,-0.02379447470108668,-0.01977822184562683,-0.04751735907047987,-0.0031190678477287306,0.036649227142333984,-0.42092424007708557,2,8,competitive
Additive - Beam ResidualMLP,24,-0.029630752901236217,-0.007892072200775146,-0.06214660226056973,-0.00409496122350295,0.08392000198364258,-0.3982880277403338,2,8,competitive
FiLM - Beam ResidualMLP,24,-0.037028426925341286,-0.03621223568916321,-0.06848095046977203,-0.01058147909740607,0.013779282569885254,-0.4973811895804969,2,8,competitive
SSL-only - Beam ResidualMLP,24,-0.29285425692796707,-0.29838278889656067,-0.34451547451317316,-0.24532453554371997,1.1920928955078125e-07,-2.3587633701743362,0,8,clearly weaker
