target,Hybrid_BeamK30_SSL_CrossGatedFusion,Hybrid_BeamK30_SSL_CrossGatedHypernetworkHead,Hybrid_BeamK30_SSL_CrossGatedMultiScaleHead
LAI,0.5815613667170206,0.5566864411036173,0.5724488099416097
anth,0.4365389148394267,0.4696971575419108,0.4662183125813802
cab,0.5652087529500326,0.550753116607666,0.5391933719317118
car,0.5473736524581909,0.509795626004537,0.5288315812746683
cbc,0.6825400789578756,0.6735053062438965,0.6461735566457113
cm,0.6577079693476359,0.6506725549697876,0.6457409063975016
cp,0.6050385038057963,0.6203624606132507,0.5949113170305887
cw,0.5902504722277323,0.5879151225090027,0.5764009356498718
