label_percent,BeamK30_ResidualMLP,Hybrid_BeamK30_SSL_CrossGatedDCNHead,Hybrid_BeamK30_SSL_CrossGatedFusion,Hybrid_BeamK30_SSL_CrossGatedNAMHead
1,-0.015242596467336021,-0.11757001777489975,-0.21395674596230185,-0.12950734545787174
5,0.19587160398562747,0.09067194660504657,0.1379320919513702,0.16649234046538666
10,0.3095568666855494,0.23774225264787674,0.2636278495192528,0.258267139395078
25,0.49013421436150867,0.41363590707381565,0.4345899000763893,0.4527702604730924
50,0.5415302440524101,0.49632740269104636,0.5117094442248344,0.5268490662177403
100,0.6239807481567065,0.5716214329004288,0.5795842756827673,0.6007903342445692
