heldout_dataset,model,model_key,mean_r2,median_r2,std_r2,mean_rmse,mean_rpd,n_evaluations,mean_test_rows
4,Hybrid_BeamK30_SSL_CrossGatedDCNHead,hybrid_cross_gated_dcn,-2.479764231046041,-1.775172472000122,2.3713361048891617,2.217623655028772,0.659167738755544,15,167.0
4,Hybrid_BeamK30_SSL_CrossGatedFusion,hybrid_cross_gated_mlp,-2.102260406812032,-2.250205993652344,1.929782592972404,2.2005186999519637,0.6870879332224528,15,167.0
4,BeamK30_ResidualMLP,labelled_residual,-2.0366994857788088,-1.0893430709838867,1.9343536235433174,2.3131954260928844,0.6763684729735057,15,167.0
4,Hybrid_BeamK30_SSL_CrossGatedNAMHead,hybrid_cross_gated_nam,-1.696067508061727,-0.9315212965011596,1.784133604574164,2.29508299074943,0.7257797161738078,15,167.0
13,Hybrid_BeamK30_SSL_CrossGatedDCNHead,hybrid_cross_gated_dcn,-1.3541853268941244,-1.5882530212402344,1.6299284372430283,0.2714358201741431,0.8557977120081584,15,313.2
13,Hybrid_BeamK30_SSL_CrossGatedNAMHead,hybrid_cross_gated_nam,-1.3533129374186197,-1.433053731918335,1.6443414129898528,0.2711514143196219,0.8513127386569976,15,313.2
13,Hybrid_BeamK30_SSL_CrossGatedFusion,hybrid_cross_gated_mlp,-1.3481102069218953,-1.4951798915863037,1.7837202157532108,0.3116464911581726,0.8220315277576447,15,313.2
2,Hybrid_BeamK30_SSL_CrossGatedDCNHead,hybrid_cross_gated_dcn,-0.8280938267707825,-0.6867235898971558,0.8422940274501641,2.878745713567539,0.8136505683263143,15,361.4
13,BeamK30_ResidualMLP,labelled_residual,-0.8194820682207743,-1.1692237854003906,0.9751432526514758,0.33148782628696144,0.850163467725118,15,313.2
2,Hybrid_BeamK30_SSL_CrossGatedFusion,hybrid_cross_gated_mlp,-0.7179298241933186,-0.7011879682540894,0.7530541601046914,2.8516451038402484,0.8309392134348551,15,361.4
2,Hybrid_BeamK30_SSL_CrossGatedNAMHead,hybrid_cross_gated_nam,-0.6327325582504273,-0.5304127931594849,0.7315518819615333,2.7828514692707755,0.8533879518508911,15,361.4
2,BeamK30_ResidualMLP,labelled_residual,-0.6111238996187845,-0.6801613569259644,0.648355158847239,2.831837448872257,0.8495580236117045,15,361.4
47,Hybrid_BeamK30_SSL_CrossGatedNAMHead,hybrid_cross_gated_nam,-0.5491699046558804,-0.497562050819397,0.6360824550524029,4.500844434742605,0.8477499882380167,9,165.0
47,Hybrid_BeamK30_SSL_CrossGatedDCNHead,hybrid_cross_gated_dcn,-0.5382729768753052,-0.4306579828262329,0.6191621310339723,4.472244413580598,0.8531953361299303,9,165.0
47,BeamK30_ResidualMLP,labelled_residual,-0.4260699484083388,-0.1596889495849609,0.5430673000159646,3.9487724539196,0.8761863311131796,9,165.0
47,Hybrid_BeamK30_SSL_CrossGatedFusion,hybrid_cross_gated_mlp,-0.39435480700598824,-0.1675434112548828,0.6975223428857447,4.102549340019956,0.9051325519879659,9,165.0
16,BeamK30_ResidualMLP,labelled_residual,-0.3749055465062459,-0.3606661558151245,0.035950080275479065,2.4424342605579437,0.8575995961825053,3,93.0
15,Hybrid_BeamK30_SSL_CrossGatedFusion,hybrid_cross_gated_mlp,-0.3399949272473653,-0.091280460357666,1.0006292630023184,0.0024932178974181336,1.1004802121056452,9,304.0
16,Hybrid_BeamK30_SSL_CrossGatedDCNHead,hybrid_cross_gated_dcn,-0.2485002279281616,-0.2832765579223633,0.1314146172014552,2.3253853819928487,0.902409553527832,3,93.0
15,Hybrid_BeamK30_SSL_CrossGatedDCNHead,hybrid_cross_gated_dcn,-0.20238903496000502,0.314710259437561,0.9361869166042419,0.002341303964753633,1.1553569171163771,9,304.0
19,Hybrid_BeamK30_SSL_CrossGatedFusion,hybrid_cross_gated_mlp,-0.19713077942530313,-0.2131603956222534,0.21283531481796697,1.1444738622493251,0.9265880187352499,3,91.0
16,Hybrid_BeamK30_SSL_CrossGatedFusion,hybrid_cross_gated_mlp,-0.16565724213918046,-0.1852209568023681,0.07416661045064929,2.2482676545627513,0.9322048425674438,3,93.0
29,BeamK30_ResidualMLP,labelled_residual,-0.15231406688690183,-0.1185355186462402,0.09265538901820533,1.8560280605392914,0.9359994133313497,3,158.0
29,Hybrid_BeamK30_SSL_CrossGatedFusion,hybrid_cross_gated_mlp,-0.14996169010798133,-0.141417384147644,0.18015432987817423,1.851312925191432,0.9412751793861389,3,158.0
29,Hybrid_BeamK30_SSL_CrossGatedDCNHead,hybrid_cross_gated_dcn,-0.11212813854217529,-0.1033048629760742,0.12477957826794711,1.8224333707292744,0.954256018002828,3,158.0
19,Hybrid_BeamK30_SSL_CrossGatedDCNHead,hybrid_cross_gated_dcn,-0.09475584824879962,-0.1169620752334594,0.23952896085759925,1.0928800962869079,0.9732668797175089,3,91.0
35,Hybrid_BeamK30_SSL_CrossGatedFusion,hybrid_cross_gated_mlp,-0.06884774367014566,0.3223002552986145,0.6678391293043371,3.0733265836827384,1.0919586936632792,15,161.6
29,Hybrid_BeamK30_SSL_CrossGatedNAMHead,hybrid_cross_gated_nam,-0.06307431062062581,-0.0583922863006591,0.07697391417094049,1.7828774930257483,0.9742374221483866,3,158.0
16,Hybrid_BeamK30_SSL_CrossGatedNAMHead,hybrid_cross_gated_nam,-0.059872786204020166,-0.0609149932861328,0.012961142655454196,2.1445318519505965,0.9766454497973124,3,93.0
15,BeamK30_ResidualMLP,labelled_residual,-0.05678418609831068,0.3052393794059753,0.763655773618768,0.0023106505620661332,1.1747541295157538,9,304.0
15,Hybrid_BeamK30_SSL_CrossGatedNAMHead,hybrid_cross_gated_nam,0.005060010486178922,0.2689728736877441,0.7235842910675143,0.0021872677942227667,1.210120075278812,9,304.0
35,BeamK30_ResidualMLP,labelled_residual,0.028534682591756184,0.3099311590194702,0.6400646655005965,2.790590811716467,1.1232216755549114,15,161.6
35,Hybrid_BeamK30_SSL_CrossGatedDCNHead,hybrid_cross_gated_dcn,0.051022187868754086,0.2177455425262451,0.5228891544239833,2.6297307272176047,1.1187937060991924,15,161.6
19,Hybrid_BeamK30_SSL_CrossGatedNAMHead,hybrid_cross_gated_nam,0.07687795162200926,0.0609351992607116,0.10511580157557013,1.006597636100693,1.0500716368357341,3,91.0
37,Hybrid_BeamK30_SSL_CrossGatedFusion,hybrid_cross_gated_mlp,0.09468212525049842,0.1904860138893127,0.2911759543802402,2.774070999797132,1.0884516358375549,15,179.4
