trait,group,model,bands,rmse_mean,rmse_std,r2_mean,r2_std,rpd_mean
cab,Best full-spectrum,Ridge,1721,9.210225965148824,0.0,0.5385874509811401,0.0,1.4740233421325684
cab,Beam K=30 + KAN,KAN,30,9.786609863256995,0.2652267272150995,0.4787231206893921,0.028006215949971,1.3880401611328126
cab,Beam K=30 + TorchMLP,TorchMLP,30,8.74480719740927,0.2208350616767567,0.5838299751281738,0.020778807304645,1.5532846450805664
cw,Best full-spectrum,XGBoost,1721,0.0060674459870698,0.0,0.5442371368408203,0.0,1.4830071926116943
cw,Beam K=30 + KAN,KAN,30,0.0063769889872148,0.000135693235595,0.4963652014732361,0.0217137211977177,1.4115190029144289
cw,Beam K=30 + TorchMLP,TorchMLP,30,0.0055911996313675,0.0001259473317666,0.6128196001052857,0.0173625691993278,1.609986162185669
cm,Best full-spectrum,XGBoost,1721,0.0041189574619447,0.0,0.5775256752967834,0.0,1.539554476737976
cm,Beam K=30 + KAN,KAN,30,0.0040384951213138,0.0001067771894259,0.593643069267273,0.0215498393440094,1.5711013555526734
cm,Beam K=30 + TorchMLP,TorchMLP,30,0.0036887492350747,0.0001446853381596,0.6607513189315796,0.0271956645201148,1.721133828163147
