target,train_labels,test_labels,best_full_model,best_full_bands,best_full_rmse,best_full_r2,beam_plsr_best_budget,beam_plsr_best_rmse,beam_plsr_best_r2,beam_plsr_k30_rmse,beam_plsr_k30_r2,torch_mlp_k30_rmse_mean,torch_mlp_k30_rmse_std,torch_mlp_k30_r2_mean,torch_mlp_k30_r2_std,torch_mlp_beats_full_r2,selected_wavelengths_k30
LAI,1165,284,ElasticNet,1721,1.2144221221215636,0.5273088216781616,20,1.2506372719030043,0.4986962888760451,1.26322262033278,0.4885561361241819,1.2162278069383556,0.0301810124973233,0.5256685137748718,0.0235651355329318,False,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654,661,650,662,664,2057,2085,2061,2060,2058,2059"
anth,289,73,ElasticNet,1721,0.2946007224192893,0.5359472036361694,20,0.2405239984599253,0.6906738840777805,0.2572767791116816,0.6460833954564287,0.2582681757150938,0.0241409918827827,0.6408576846122742,0.0677654945035454,True,"592,486,1348,1471,552,1297,695,676,512,561,1138,972,525,721,655,767,1463,1470,694,675,643,560,557,559,556,555,558,554,553,526"
cab,1609,396,Ridge,1721,9.210225965148824,0.5385874509811401,30,9.332314796845244,0.5262736632219264,9.332314796845244,0.5262736632219264,8.74480719740927,0.2208350616767567,0.5838299751281738,0.020778807304645,True,"1350,424,547,817,739,882,841,649,683,954,1129,1459,1264,1198,641,618,1170,716,697,612,637,710,1487,1444,715,616,1193,1188,548,698"
car,1335,325,SVR_RBF,1721,1.9845562404473431,0.5196733074624811,30,2.190586791227776,0.4147642750346847,2.190586791227776,0.4147642750346847,2.043318115560085,0.0767867453150881,0.4902323126792908,0.0386140776335365,False,"1431,440,568,400,446,439,486,1291,704,909,675,1225,1033,1275,1078,607,600,677,596,457,487,1472,680,402,441,1475,1474,679,1459,1455"
cbc,2203,555,XGBoost,1721,0.0042616005790529,0.5548825263977051,30,0.0044623148043132,0.5119665805864504,0.0044623148043132,0.5119665805864504,0.0034692385871427,0.000116861341479,0.7047489047050476,0.0196520905984887,True,"1706,1536,1271,1007,1090,709,1264,1331,1796,669,487,526,1581,1618,1737,1443,646,1104,572,1687,1662,2099,1685,1596,518,1588,1603,2123,1797,1795"
cm,2944,736,XGBoost,1721,0.0041189574619447,0.5775256752967834,30,0.0045398907862175,0.4867646885767706,0.0045398907862175,0.4867646885767706,0.0036887492350747,0.0001446853381596,0.6607513189315796,0.0271956645201148,True,"1715,1559,1300,1574,992,510,660,1081,1738,1728,1332,987,1647,1693,1734,1667,699,514,2168,2166,2157,982,1670,1676,1740,1672,2176,1739,1645,1639"
cp,2203,555,Ridge,1721,0.0003098614862129,0.5059227347373962,30,0.0003136985862788,0.4936103603108932,0.0003136985862788,0.4936103603108932,0.0002742262899533,5.186031080783091e-06,0.6129188060760498,0.0147157882330646,True,"556,533,1736,1275,1226,1768,721,1542,1767,679,544,793,1573,656,1665,1041,1241,1211,616,485,510,522,669,1770,675,630,623,519,551,664"
cw,1676,424,XGBoost,1721,0.0060674459870698,0.5442371368408203,30,0.0064647487855941,0.4825952521917066,0.0064647487855941,0.4825952521917066,0.0055911996313675,0.0001259473317666,0.6128196001052857,0.0173625691993278,True,"1597,539,585,1545,1106,1184,1297,980,1697,1434,1591,1705,1289,937,1602,1609,1664,1652,1668,1642,1593,1601,1646,1592,1596,1608,1648,1604,1607,1606"
