selector,model,target,budget,bands,validation_rmse,selected_wavelengths,selected_band_indices,beam_width,top_pool,extra_random,expansion_limit,rmse,mae,r2,rpd,train_seconds,predict_seconds
BeamSearch,PLSR,LAI,5,5,1.3729260441201185,"2055,1066,746,1730,1340","1325,666,346,1250,940",5,220,40,260,1.4009081459607882,1.1203848763251563,0.3709900637904201,1.2630984783172607,0.0037904999990132637,0.0004659000005631242
BeamSearch,PLSR,LAI,10,10,1.3478396875969583,"2055,1066,746,1730,1340,1324,1601,1054,1222,989","1325,666,346,1250,940,924,1121,654,822,589",5,220,40,260,1.354501932239623,1.0688825665901223,0.41197276341683375,1.306373119354248,0.0034757999965222552,0.000352700000803452
BeamSearch,PLSR,LAI,20,20,1.2653831468480992,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654","1325,666,346,1250,940,924,1121,654,822,590,281,249,253,206,266,251,305,263,131,254",5,220,40,260,1.2506372719030043,0.9708716392149473,0.4986962888760451,1.41486656665802,0.006863000002340414,0.0004360999992059078
BeamSearch,PLSR,LAI,30,30,1.2705768716216848,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654,661,650,662,664,2057,2085,2061,2060,2058,2059","1325,666,346,1250,940,924,1121,654,822,590,281,249,253,206,266,251,305,263,131,254,261,250,262,264,1327,1355,1331,1330,1328,1329",5,220,40,260,1.2632226203327799,0.9999040906547809,0.4885561361241819,1.4007704257965088,0.008975299999292474,0.0008908999989216682
