selector,model,target,budget,bands,validation_rmse,selected_wavelengths,selected_band_indices,beam_width,top_pool,extra_random,expansion_limit,rmse,mae,r2,rpd,train_seconds,predict_seconds
BeamSearch,PLSR,cm,5,5,0.005538048865180804,"1715,1559,1300,1581,987","1235,1079,900,1101,587",5,220,40,260,0.005076815667725326,0.00363646893717777,0.35818700194494757,1.249082088470459,0.0019086000029346906,0.0004399999997986015
BeamSearch,PLSR,cm,10,10,0.00510494927231995,"1715,1559,1300,1574,992,510,660,1081,1738,1727","1235,1079,900,1094,592,110,260,681,1258,1247",5,220,40,260,0.0048599786013436685,0.0034508570926364197,0.41184142625664943,1.3048121929168701,0.0033801999998104293,0.0005121000031067524
BeamSearch,PLSR,cm,20,20,0.004694199236556667,"1715,1559,1300,1574,992,510,660,1081,1738,1728,1332,987,1647,1693,1734,1667,699,484,2168,2166","1235,1079,900,1094,592,110,260,681,1258,1248,932,587,1167,1213,1254,1187,299,84,1438,1436",5,220,40,260,0.004574246944166848,0.003230934250709176,0.4789673589149698,1.3863176107406616,0.006877700001496123,0.00036550000004353933
BeamSearch,PLSR,cm,30,30,0.004650909141499752,"1715,1559,1300,1574,992,510,660,1081,1738,1728,1332,987,1647,1693,1734,1667,699,514,2168,2166,2157,982,1670,1676,1740,1672,2176,1739,1645,1639","1235,1079,900,1094,592,110,260,681,1258,1248,932,587,1167,1213,1254,1187,299,114,1438,1436,1427,582,1190,1196,1260,1192,1446,1259,1165,1159",5,220,40,260,0.004539890786217593,0.003199671294735227,0.4867646885767706,1.3968088626861572,0.009513799999695038,0.0004703999984485563
