selector,target,budget,validation_rmse,selected_wavelengths,selected_band_indices
BeamSearch,LAI,5,1.3729260441201185,"2055,1066,746,1730,1340","1325,666,346,1250,940"
BeamSearch,LAI,10,1.3478396875969583,"2055,1066,746,1730,1340,1324,1601,1054,1222,989","1325,666,346,1250,940,924,1121,654,822,589"
BeamSearch,LAI,20,1.2653831468480992,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654","1325,666,346,1250,940,924,1121,654,822,590,281,249,253,206,266,251,305,263,131,254"
BeamSearch,LAI,30,1.2705768716216848,"2055,1066,746,1730,1340,1324,1601,1054,1222,990,681,649,653,606,666,651,705,663,531,654,661,650,662,664,2057,2085,2061,2060,2058,2059","1325,666,346,1250,940,924,1121,654,822,590,281,249,253,206,266,251,305,263,131,254,261,250,262,264,1327,1355,1331,1330,1328,1329"
