selector,model,target,budget,bands,validation_rmse,selected_wavelengths,selected_band_indices,beam_width,top_pool,extra_random,expansion_limit,rmse,mae,r2,rpd,train_seconds,predict_seconds
BeamSearch,PLSR,cw,5,5,0.008377504030213978,"1597,539,585,1545,1121","1117,139,185,1065,721",5,220,40,260,0.007601988688468736,0.005702272717022021,0.28454628816107774,1.1836464405059814,0.0016727000001992565,0.0002890999967348762
BeamSearch,PLSR,cw,10,10,0.007181260071572291,"1597,539,585,1545,1106,1184,1297,980,1699,1434","1117,139,185,1065,706,784,897,580,1219,954",5,220,40,260,0.006669218042317011,0.004732263785866966,0.4493483614338747,1.3491935729980469,0.0026852000009967014,0.0003015999973285943
BeamSearch,PLSR,cw,20,20,0.0069479171624827795,"1597,539,585,1545,1106,1184,1297,980,1697,1434,1591,1705,1289,937,1602,1609,1664,1652,1668,1642","1117,139,185,1065,706,784,897,580,1217,954,1111,1225,889,537,1122,1129,1184,1172,1188,1162",5,220,40,260,0.006508684108554806,0.004622333317646263,0.4755386467379664,1.3824708461761475,0.005198800001380732,0.0003346999983477872
BeamSearch,PLSR,cw,30,30,0.0069196334538995765,"1597,539,585,1545,1106,1184,1297,980,1697,1434,1591,1705,1289,937,1602,1609,1664,1652,1668,1642,1593,1601,1646,1592,1596,1608,1648,1604,1607,1606","1117,139,185,1065,706,784,897,580,1217,954,1111,1225,889,537,1122,1129,1184,1172,1188,1162,1113,1121,1166,1112,1116,1128,1168,1124,1127,1126",5,220,40,260,0.006464748785594194,0.004593401908756338,0.4825952521917066,1.3918663263320923,0.006180599997605896,0.0003862000012304634
