selector,target,budget,validation_rmse,selected_wavelengths,selected_band_indices
BeamSearch,anth,5,0.3571509692337581,"592,486,1348,1471,551","192,86,948,991,151"
BeamSearch,anth,10,0.3282704467262415,"592,486,1348,1471,552,1297,695,676,512,562","192,86,948,991,152,897,295,276,112,162"
BeamSearch,anth,20,0.27057731618083464,"592,486,1348,1471,552,1297,695,676,512,561,1138,972,525,721,655,767,1463,1469,694,675","192,86,948,991,152,897,295,276,112,161,738,572,125,321,255,367,983,989,294,275"
BeamSearch,anth,30,0.26521264849918397,"592,486,1348,1471,552,1297,695,676,512,561,1138,972,525,721,655,767,1463,1470,694,675,643,560,557,559,556,555,558,554,553,526","192,86,948,991,152,897,295,276,112,161,738,572,125,321,255,367,983,990,294,275,243,160,157,159,156,155,158,154,153,126"
