selector,target,budget,validation_rmse,selected_wavelengths,selected_band_indices
BeamSearch,cab,5,10.629476008220122,"1350,424,545,817,739","950,24,145,417,339"
BeamSearch,cab,10,9.644422467011955,"1350,424,545,817,739,882,841,649,683,954","950,24,145,417,339,482,441,249,283,554"
BeamSearch,cab,20,9.221338139806939,"1350,424,547,817,739,882,841,649,683,954,1129,1459,1264,1198,641,618,1170,716,697,611","950,24,147,417,339,482,441,249,283,554,729,979,864,798,241,218,770,316,297,211"
BeamSearch,cab,30,9.14708060583205,"1350,424,547,817,739,882,841,649,683,954,1129,1459,1264,1198,641,618,1170,716,697,612,637,710,1487,1444,715,616,1193,1188,548,698","950,24,147,417,339,482,441,249,283,554,729,979,864,798,241,218,770,316,297,212,237,310,1007,964,315,216,793,788,148,298"
