selector,target,budget,validation_rmse,selected_wavelengths,selected_band_indices
BeamSearch,cw,5,0.008377504030213978,"1597,539,585,1545,1121","1117,139,185,1065,721"
BeamSearch,cw,10,0.007181260071572291,"1597,539,585,1545,1106,1184,1297,980,1699,1434","1117,139,185,1065,706,784,897,580,1219,954"
BeamSearch,cw,20,0.0069479171624827795,"1597,539,585,1545,1106,1184,1297,980,1697,1434,1591,1705,1289,937,1602,1609,1664,1652,1668,1642","1117,139,185,1065,706,784,897,580,1217,954,1111,1225,889,537,1122,1129,1184,1172,1188,1162"
BeamSearch,cw,30,0.0069196334538995765,"1597,539,585,1545,1106,1184,1297,980,1697,1434,1591,1705,1289,937,1602,1609,1664,1652,1668,1642,1593,1601,1646,1592,1596,1608,1648,1604,1607,1606","1117,139,185,1065,706,784,897,580,1217,954,1111,1225,889,537,1122,1129,1184,1172,1188,1162,1113,1121,1166,1112,1116,1128,1168,1124,1127,1126"
