selector,target,budget,validation_rmse,selected_wavelengths,selected_band_indices
BeamSearch,car,5,2.4867669800839414,"1431,440,568,400,448","951,40,168,0,48"
BeamSearch,car,10,2.41851884216062,"1431,440,568,400,446,439,485,1291,705,909","951,40,168,0,46,39,85,891,305,509"
BeamSearch,car,20,2.201586511542559,"1431,440,568,400,446,439,486,1291,704,909,675,1225,1033,1275,1078,607,600,677,596,456","951,40,168,0,46,39,86,891,304,509,275,825,633,875,678,207,200,277,196,56"
BeamSearch,car,30,2.1680028231964625,"1431,440,568,400,446,439,486,1291,704,909,675,1225,1033,1275,1078,607,600,677,596,457,487,1472,680,402,441,1475,1474,679,1459,1455","951,40,168,0,46,39,86,891,304,509,275,825,633,875,678,207,200,277,196,57,87,992,280,2,41,995,994,279,979,975"
