selector,target,budget,validation_rmse,selected_wavelengths,selected_band_indices
BeamSearch,cp,5,0.000316535468465099,"556,533,1736,1290,1211","156,133,1256,890,811"
BeamSearch,cp,10,0.00029404481504774444,"556,533,1736,1275,1226,1768,721,1542,1767,682","156,133,1256,875,826,1288,321,1062,1287,282"
BeamSearch,cp,20,0.00027180828355954494,"556,533,1736,1275,1226,1768,721,1542,1767,679,544,793,1573,656,1664,1041,1241,1211,616,485","156,133,1256,875,826,1288,321,1062,1287,279,144,393,1093,256,1184,641,841,811,216,85"
BeamSearch,cp,30,0.0002616258670545851,"556,533,1736,1275,1226,1768,721,1542,1767,679,544,793,1573,656,1665,1041,1241,1211,616,485,510,522,669,1770,675,630,623,519,551,664","156,133,1256,875,826,1288,321,1062,1287,279,144,393,1093,256,1185,641,841,811,216,85,110,122,269,1290,275,230,223,119,151,264"
