selector,target,budget,validation_rmse,selected_wavelengths,selected_band_indices
BeamSearch,cbc,5,0.005462498139947469,"1705,1536,1271,1007,1090","1225,1056,871,607,690"
BeamSearch,cbc,10,0.0049218593487498595,"1706,1536,1271,1007,1090,709,1264,1331,1800,669","1226,1056,871,607,690,309,864,931,1320,269"
BeamSearch,cbc,20,0.004558455278484929,"1706,1536,1271,1007,1090,709,1264,1331,1796,669,487,526,1581,1618,1736,1443,646,1104,572,525","1226,1056,871,607,690,309,864,931,1316,269,87,126,1101,1138,1256,963,246,704,172,125"
BeamSearch,cbc,30,0.004497739348671702,"1706,1536,1271,1007,1090,709,1264,1331,1796,669,487,526,1581,1618,1737,1443,646,1104,572,1687,1662,2099,1685,1596,518,1588,1603,2123,1797,1795","1226,1056,871,607,690,309,864,931,1316,269,87,126,1101,1138,1257,963,246,704,172,1207,1182,1369,1205,1116,118,1108,1123,1393,1317,1315"
