selector,model,target,budget,bands,validation_rmse,selected_wavelengths,selected_band_indices,beam_width,top_pool,extra_random,expansion_limit,rmse,mae,r2,rpd,train_seconds,predict_seconds
BeamSearch,PLSR,anth,5,5,0.3571509692337581,"592,486,1348,1471,551","192,86,948,991,151",5,220,40,260,0.3392053388477273,0.26003565857330957,0.38478754845866003,1.2837564945220947,0.0012749000015901402,0.0002330999996047467
BeamSearch,PLSR,anth,10,10,0.3282704467262415,"592,486,1348,1471,552,1297,695,676,512,562","192,86,948,991,152,897,295,276,112,162",5,220,40,260,0.29180818747014964,0.2332756002502765,0.5447030881898005,1.4922714233398438,0.0016780000005383044,0.000248799999098992
BeamSearch,PLSR,anth,20,20,0.27057731618083464,"592,486,1348,1471,552,1297,695,676,512,561,1138,972,525,721,655,767,1463,1469,694,675","192,86,948,991,152,897,295,276,112,161,738,572,125,321,255,367,983,989,294,275",5,220,40,260,0.2405239984599253,0.1844935788273608,0.6906738840777805,1.8104515075683594,0.0031286999983421993,0.00026979999893228523
BeamSearch,PLSR,anth,30,30,0.26521264849918397,"592,486,1348,1471,552,1297,695,676,512,561,1138,972,525,721,655,767,1463,1470,694,675,643,560,557,559,556,555,558,554,553,526","192,86,948,991,152,897,295,276,112,161,738,572,125,321,255,367,983,990,294,275,243,160,157,159,156,155,158,154,153,126",5,220,40,260,0.2572767791116816,0.19733749583223908,0.6460833954564287,1.692562460899353,0.003298800002085045,0.0005213000004005153
